Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
complete.world,resell,120,21%,8,"Manufacturing,Retail,Technology",23/01/2020 08:26,23/01/2026 08:26,"Xiamen ChinaSource Internet Service Co., Ltd"
second.world,resell,120,23%,6,"General,Mathematics",31/03/2017 23:21,31/03/2026 23:21,"Chengdu West Dimension Digital Technology Co., Ltd."
tenth.world,available,116,7%,5,Mathematics,,,
equal.world,resell,116,19%,5,"Education,General,Law",04/07/2020 16:13,04/07/2026 16:13,"DNSPod, Inc."
tonic.world,resell,114,22%,5,"Health and Fitness,Medicine,Science",06/07/2019 09:38,06/07/2026 09:38,"DNSPod, Inc."
hotshot.world,resell,112,14%,7,"Business,Entertainment,Sports",10/06/2025 20:00,10/06/2026 20:00,"Sav.com, LLC"
acute.world,resell,112,9%,5,"Mathematics,Medicine,Science",25/01/2025 21:42,25/01/2026 21:42,"Sav.com, LLC"
abstract.world,resell,108,29%,8,"Arts,Humanities,Science",24/11/2019 17:11,24/11/2025 17:11,"Chengdu West Dimension Digital Technology Co., Ltd."
abiding.world,available,106,5%,7,"General,Religion",,,
active.world,resell,104,27%,6,"Health and Fitness,Sports,Travel",14/01/2015 16:06,14/01/2026 16:06,"Global Domains International, Inc. DBA DomainCostClub.com"
absent.world,available,102,8%,6,"Business,Education,Technology",,,
remove.world,resell,100,13%,6,"Construction,Manufacturing,Technology",31/08/2024 17:00,31/08/2026 17:00,"Sav.com, LLC - 41"
eighth.world,available,100,6%,6,Mathematics,,,
abrupt.world,available,100,3%,6,"Medicine,Science",,,
adjunct.world,available,100,5%,7,Education,,,
crack.world,resell,100,20%,5,Sports,25/03/2018 16:16,25/03/2026 16:16,"Xiamen ChinaSource Internet Service Co., Ltd"
ninth.world,resell,100,9%,5,Mathematics,22/11/2024 17:00,22/11/2025 17:00,"Sav.com, LLC - 5"
sixth.world,resell,100,8%,5,Mathematics,12/02/2025 15:15,12/02/2026 15:15,"Sav.com, LLC - 7"
genius.world,resell,98,46%,6,"Arts,Education,Technology",30/03/2019 03:10,30/03/2028 03:10,"Chengdu West Dimension Digital Technology Co., Ltd."
academic.world,resell,96,20%,8,"Education,Humanities,Science",17/04/2017 22:43,17/04/2026 22:43,"Chengdu West Dimension Digital Technology Co., Ltd."
alamode.world,available,96,12%,9,Fashion,,,
adequate.world,available,94,9%,8,"Education,Healthcare,Technology",,,
